Timestamp,Capacidad disponible,Capacidad utilizada,% Memoria utilizada
20:22:18,2569748,628488,15.57
20:22:21,2569748,628488,15.57
20:22:24,2569748,628488,15.57
20:22:27,2569748,628488,15.57
20:22:30,2569748,628480,15.57
20:22:33,2569748,628480,15.57
20:22:36,2569748,628480,15.57
20:22:39,2569748,628480,15.57
20:22:42,2569748,628480,15.57
20:22:45,2569748,628480,15.57
20:22:48,2569748,628480,15.57
20:22:51,2569748,628480,15.57
20:22:54,2569748,628480,15.57
20:22:57,2569748,628480,15.57
20:23:00,2569996,628224,15.56
20:23:03,2569996,628224,15.56
20:23:06,2569996,628224,15.56
20:23:09,2569996,628224,15.56
20:23:12,2569996,628224,15.56
20:23:15,2569996,628224,15.56
20:23:18,2569996,628224,15.56
20:23:21,2569996,628224,15.56
20:23:24,2569996,628224,15.56
20:23:27,2569996,628224,15.56
20:23:30,2569996,628224,15.56
20:23:33,2569996,628224,15.56
20:23:36,2569996,628224,15.56
20:23:39,2569996,628224,15.56
20:23:42,2569996,628224,15.56
20:23:45,2569996,628224,15.56
20:23:48,2569996,628224,15.56
20:23:51,2569996,628224,15.56
20:23:54,2569996,628224,15.56
20:23:57,2569996,628224,15.56
20:24:00,2569996,628224,15.56
20:24:03,2569996,628224,15.56
20:24:06,2570120,628096,15.56
20:24:09,2569996,628220,15.56
20:24:12,2569996,628220,15.56
20:24:15,2569996,628220,15.56
20:24:18,2569996,628220,15.56
20:24:21,2569996,628212,15.56
20:24:24,2569996,628212,15.56
20:24:27,2569996,628212,15.56
20:24:30,2569996,628212,15.56
20:24:33,2569996,628212,15.56
20:24:37,2570120,628088,15.56
20:24:40,2570120,628088,15.56
20:24:43,2570120,628088,15.56
20:24:46,2570120,628088,15.56
20:24:49,2570120,628088,15.56
20:24:52,2570120,628088,15.56
20:24:55,2570120,628088,15.56
20:24:58,2570120,628088,15.56
20:25:01,2569996,628204,15.56
20:25:04,2569996,628204,15.56
20:25:07,2569996,628204,15.56
20:25:10,2569996,628204,15.56
20:25:13,2569996,628204,15.56
20:25:16,2569872,628328,15.57
20:25:19,2569872,628328,15.57
20:25:22,2569872,628328,15.57
20:25:25,2569872,628328,15.57
20:25:28,2569872,628328,15.57
20:25:31,2569872,628328,15.57
20:25:34,2569872,628328,15.57
20:25:37,2569872,628328,15.57
20:25:40,2569872,628328,15.57
20:25:43,2569872,628328,15.57
20:25:46,2569872,628328,15.57
20:25:49,2569872,628328,15.57
20:25:52,2569872,628328,15.57
20:25:55,2569872,628328,15.57
20:25:58,2569872,628328,15.57
20:26:01,2569748,628452,15.57
20:26:04,2569748,628452,15.57
20:26:07,2569748,628452,15.57
20:26:10,2569500,628700,15.57
20:26:13,2569624,628564,15.57
20:26:16,2569624,628564,15.57
20:26:19,2569624,628564,15.57
20:26:22,2569624,628564,15.57
20:26:25,2569624,628564,15.57
20:26:28,2569624,628564,15.57
20:26:31,2569624,628564,15.57
20:26:34,2569624,628564,15.57
20:26:37,2569624,628564,15.57
20:26:40,2569624,628556,15.57
20:26:43,2569624,628556,15.57
20:26:46,2569624,628556,15.57
20:26:49,2569624,628556,15.57
20:26:52,2569624,628556,15.57
20:26:55,2569624,628556,15.57
20:26:58,2569624,628556,15.57
20:27:01,2569624,628556,15.57
20:27:04,2569624,628556,15.57
20:27:07,2569624,628556,15.57
20:27:10,2569624,628556,15.57
20:27:13,2569624,628556,15.57
20:27:16,2569624,628556,15.57
20:27:19,2569624,628556,15.57
20:27:22,2569624,628556,15.57
20:27:25,2569624,628556,15.57
20:27:28,2569624,628556,15.57
20:27:31,2569624,628556,15.57
20:27:34,2569624,628556,15.57
20:27:37,2569624,628556,15.57
20:27:40,2569624,628556,15.57
20:27:43,2569624,628556,15.57
20:27:46,2569624,628556,15.57
20:27:49,2569624,628556,15.57
20:27:52,2569624,628556,15.57
20:27:56,2569624,628556,15.57
20:27:59,2569624,628556,15.57
20:28:02,2569624,628556,15.57
20:28:05,2569624,628556,15.57
20:28:08,2569624,628556,15.57
20:28:11,2569624,628544,15.57
20:28:14,2569624,628544,15.57
20:28:17,2569624,628544,15.57
20:28:20,2569624,628544,15.57
20:28:23,2569624,628544,15.57
20:28:26,2569624,628544,15.57
20:28:29,2569624,628544,15.57
20:28:32,2569624,628544,15.57
20:28:35,2569624,628544,15.57
20:28:38,2569624,628544,15.57
20:28:41,2569624,628544,15.57
20:28:44,2569624,628544,15.57
20:28:47,2569624,628544,15.57
20:28:50,2569748,628412,15.57
20:28:53,2569748,628412,15.57
20:28:56,2569748,628412,15.57
20:28:59,2569748,628412,15.57
20:29:02,2569748,628412,15.57
20:29:05,2569748,628412,15.57
20:29:08,2569748,628412,15.57
20:29:11,2569872,628288,15.56
20:29:14,2569872,628288,15.56
20:29:17,2569872,628288,15.56
20:29:20,2569872,628288,15.56
20:29:23,2569872,628288,15.56
20:29:26,2569872,628288,15.56
20:29:29,2569872,628288,15.56
20:29:32,2569872,628288,15.56
20:29:35,2569872,628288,15.56
20:29:38,2569872,628288,15.56
20:29:41,2569872,628288,15.56
20:29:44,2569996,628160,15.56
20:29:47,2569996,628160,15.56
20:29:50,2569996,628160,15.56
20:29:53,2569996,628160,15.56
20:29:56,2569996,628160,15.56
20:29:59,2569996,628160,15.56
20:30:02,2569996,628160,15.56
20:30:05,2569996,628160,15.56
20:30:08,2569996,628160,15.56
20:30:11,2569996,628160,15.56
20:30:14,2569996,628160,15.56
20:30:17,2569872,628268,15.56
20:30:20,2569872,628268,15.56
20:30:23,2569872,628268,15.56
20:30:26,2569872,628268,15.56
20:30:29,2569872,628268,15.56
20:30:32,2569996,628144,15.56
20:30:35,2569996,628144,15.56
20:30:38,2569996,628144,15.56
20:30:41,2569996,628144,15.56
